"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 29 16:38:24 IDT 2023","Fri Sep 29 16:38:29 IDT 2023","4329","chromium","home.spec.ts","Home","","","Verify home link is enabled using text and css selector",""
"passed","Fri Sep 29 16:38:27 IDT 2023","Fri Sep 29 16:38:34 IDT 2023","7337","chromium","upload.spec.ts","Upload File","","","Should upload a big.png file",""
"passed","Fri Sep 29 16:38:15 IDT 2023","Fri Sep 29 16:38:20 IDT 2023","4254","chromium","account.spec.ts","Account page","","","Verify login and register is visible",""
"passed","Fri Sep 29 16:38:21 IDT 2023","Fri Sep 29 16:38:24 IDT 2023","3326","chromium","home.spec.ts","Home","","","Open HomePage and verify title",""
"passed","Fri Sep 29 16:38:20 IDT 2023","Fri Sep 29 16:38:23 IDT 2023","3769","chromium","blog.spec.ts","Blog Page","","","Go to Blog page and verify the recent posts",""
"passed","Fri Sep 29 16:38:25 IDT 2023","Fri Sep 29 16:38:28 IDT 2023","3394","chromium","home.spec.ts","Home","","","Verify text of all nav links",""
"passed","Fri Sep 29 16:38:23 IDT 2023","Fri Sep 29 16:38:27 IDT 2023","3516","chromium","home.spec.ts","Home","","","Verify text is visible using text selector",""
"passed","Fri Sep 29 16:38:15 IDT 2023","Fri Sep 29 16:38:20 IDT 2023","5038","chromium","account.spec.ts","My Account","","","Access Downloads",""
"passed","Fri Sep 29 16:38:20 IDT 2023","Fri Sep 29 16:38:21 IDT 2023","790","chromium","example.spec.ts","","","","has title",""
"passed","Fri Sep 29 16:38:20 IDT 2023","Fri Sep 29 16:38:21 IDT 2023","927","chromium","example.spec.ts","","","","get started link",""
"passed","Fri Sep 29 16:38:15 IDT 2023","Fri Sep 29 16:38:20 IDT 2023","4900","chromium","account.spec.ts","My Account","","","Access Orders",""
"passed","Fri Sep 29 16:38:28 IDT 2023","Fri Sep 29 16:38:34 IDT 2023","6053","chromium","upload.spec.ts","Upload File","","","Should upload a Ph.png file",""
"passed","Fri Sep 29 16:38:20 IDT 2023","Fri Sep 29 16:38:25 IDT 2023","4878","chromium","contact.spec.ts","Contact page","","","Go to Contact page and fill the fourm",""
"passed","Fri Sep 29 16:38:21 IDT 2023","Fri Sep 29 16:38:25 IDT 2023","3208","chromium","home.spec.ts","Home","","","Click get stated button using CSS Selector",""
"passed","Fri Sep 29 16:38:15 IDT 2023","Fri Sep 29 16:38:20 IDT 2023","4261","chromium","about.spec.ts","About","","","Open AboutPage and verify title",""
"passed","Fri Sep 29 16:38:25 IDT 2023","Fri Sep 29 16:38:28 IDT 2023","3496","chromium","home.spec.ts","Home","","","Verify serach icon is visible using xpath selector",""
